idx,p0x,p0y,p0z,e1x,e1y,e1z,e2x,e2y,e2z,nx,ny,nz,flags,area_m2
18,-4827328.500,75326.148,4127935.500,-960.000,-767.508,-1985.000,5695.000,512.508,-4225.000,-0.259671,0.936305,-0.236442,0,0.4889
19,-4828288.500,74558.641,4125950.500,6655.000,1280.016,-2240.000,6015.000,-192.508,-3262.500,-0.353626,0.632326,-0.689284,16,0.3883
20,-4832128.500,70271.070,4130495.500,3840.000,4287.570,-4545.000,3520.000,3455.055,-4800.000,-0.848499,0.423387,-0.317477,2,0.1713
21,-4828288.500,74558.641,4125950.500,-320.000,-832.516,-255.000,6015.000,-192.508,-3262.500,-0.424593,0.410397,-0.807029,2,0.1872
22,-4821633.500,75838.656,4123710.500,-640.000,-1472.523,-1022.500,5057.500,320.008,-5695.250,-0.606948,0.614099,-0.504477,16,0.4279
23,-4822273.500,74366.133,4122688.000,5697.500,1792.531,-4672.750,4737.500,192.508,-5760.250,-0.587240,0.665488,-0.460733,16,0.4784
24,-4816576.000,76158.664,4118015.250,-960.000,-1600.023,-1087.500,4607.500,-127.508,-3392.500,-0.428329,0.669487,-0.606895,16,0.3680
25,-4817536.000,74558.641,4116927.750,5567.500,1472.516,-2305.000,5310.000,575.008,-3457.500,-0.409315,0.761939,-0.501907,16,0.2742
26,-4818306.000,71293.586,4116222.750,6080.000,3840.062,-2752.500,5825.000,2945.047,-3007.500,-0.567219,0.371082,-0.735228,2,0.1809
27,-4797760.500,75453.648,4113022.750,-7938.000,257.508,385.000,320.000,-960.016,-1472.500,0.000694,0.837760,-0.546038,16,0.4114
28,-4805698.500,75711.156,4113407.750,8258.000,-1217.523,-1857.500,-190.000,-2112.531,-2305.000,-0.042560,0.738293,-0.673137,16,0.7826
29,-4797440.500,74493.633,4111550.250,-8448.000,-895.008,-447.500,127.500,-960.008,-447.500,0.003205,0.422842,-0.906197,2,0.2705
30,-4805698.500,75711.156,4113407.750,-6270.000,320.000,1215.000,-190.000,-2112.531,-2305.000,-0.091917,0.737857,-0.668669,16,0.5931
31,-4811968.500,76031.156,4114622.750,6080.000,-2432.531,-3520.000,-257.500,-897.508,-1152.500,-0.035617,0.792322,-0.609062,16,0.2977
32,-4797760.500,75453.648,4113022.750,320.000,-960.016,-1472.500,7552.500,320.008,255.000,-0.016893,0.835888,-0.548640,16,0.3994
33,-4797440.500,74493.633,4111550.250,7232.500,1280.023,1727.500,7487.500,-447.500,-512.500,0.005572,0.792158,-0.610291,16,0.6261
34,-4790208.000,75773.656,4113277.750,255.000,-1727.523,-2240.000,5630.000,257.500,897.500,0.060188,0.793730,-0.605285,16,0.4821
35,-4789953.000,74046.133,4111037.750,5375.000,1985.023,3137.500,6080.000,-192.508,2050.000,0.290684,0.501171,-0.815065,2,0.4791
36,-4797440.500,74493.633,4111550.250,127.500,-960.008,-447.500,7487.500,-447.500,-512.500,-0.037133,0.418148,-0.907620,2,0.2342
37,-4780865.500,60095.918,3866559.000,7360.000,1982.527,4735.000,-832.500,1342.520,385.000,0.385838,0.467366,-0.795423,2,0.4320
38,-4773505.500,62078.445,3871294.000,-8192.500,-640.008,-4350.000,-1152.500,1407.523,385.000,0.370349,0.514747,-0.773225,2,0.4729
39,-4773505.500,62078.445,3871294.000,4415.000,257.504,7937.750,-1152.500,1407.523,385.000,0.658604,0.645198,-0.387248,16,0.5011
40,-4769090.500,62335.949,3879231.750,-5567.500,1150.020,-7552.750,-1150.000,2495.039,320.000,0.761433,0.414842,-0.498123,16,0.7520
41,-4936193.000,68413.547,3855423.750,13633.000,-640.016,1407.500,-65.000,1730.023,2302.500,0.098940,0.796892,-0.595965,16,1.1774
42,-4922560.000,67773.531,3856831.250,-13698.000,2370.039,895.000,-512.500,2497.539,1280.000,0.021483,0.459477,-0.887930,16,1.1075
43,-4922560.000,67773.531,3856831.250,13695.000,832.516,-705.000,-512.500,2497.539,1280.000,-0.072928,0.442987,-0.893557,2,1.1550
44,-4908865.000,68606.047,3856126.250,-14207.500,1665.023,1985.000,-960.000,1857.531,2305.250,0.003818,0.779438,-0.626468,16,1.1794
45,-5256450.000,32190.490,4357504.000,705.000,65.002,-7745.000,2112.500,-3072.547,190.000,0.819132,0.568092,0.079331,16,0.8653
46,-5255745.000,32255.492,4349759.000,1407.500,-3137.549,7935.000,1855.000,-2945.045,127.500,0.843336,0.533856,0.061500,2,0.8117
47,-5254337.500,29117.943,4357694.000,447.500,192.504,-7807.500,960.000,-2495.037,-255.000,0.933606,0.352860,0.062211,2,0.6234
48,-5255745.000,32255.492,4349759.000,-65.000,-577.510,-8128.000,1855.000,-2945.045,127.500,0.846170,0.531052,-0.044499,16,0.8457
49,-5255810.000,31677.982,4341631.000,1920.000,-2367.535,8255.500,1665.000,-830.012,-257.500,0.459272,0.876457,0.144539,0,0.4842
50,-4808961.000,67711.031,3539006.500,2047.500,702.516,8192.500,-897.500,1407.523,-320.000,0.841006,0.479136,-0.251274,2,0.4166
51,-4806913.500,68413.547,3547199.000,-2945.000,705.008,-8512.500,-1025.000,1792.523,-192.500,0.850704,0.458925,-0.256303,2,0.5298
52,-4806913.500,68413.547,3547199.000,1665.000,577.508,8127.750,-1025.000,1792.523,-192.500,0.858410,0.468397,-0.209130,2,0.5097
53,-4805248.500,68991.055,3555326.750,-2690.000,1215.016,-8320.250,-1090.000,1982.531,-65.000,0.859654,0.465757,-0.209918,2,0.5691
54,-5174721.500,112894.219,3540351.500,255.000,-2622.539,-2047.500,6975.000,-62.500,-640.000,-0.066985,0.609953,-0.789601,16,0.6898
55,-5174466.500,110271.680,3538304.000,6720.000,2560.039,1407.500,6977.500,-65.000,-640.000,-0.066775,0.609573,-0.789913,16,0.6904
56,-5167746.500,112831.719,3539711.500,257.500,-2625.039,-2047.500,7170.500,-65.000,0.000,0.005578,0.615357,-0.788229,16,0.7110
57,-5167489.000,110206.680,3537664.000,6913.000,2560.039,2047.500,7168.000,640.008,0.000,-0.064634,0.723894,-0.686877,16,0.6042
58,-4931010.000,103486.578,3458877.750,-8768.000,-65.000,-575.000,512.500,-1087.516,-1920.000,0.025502,0.872737,-0.487524,0,0.5849
59,-4939778.000,103421.578,3458302.750,9280.500,-1022.516,-1345.000,385.000,-2430.039,-1855.000,-0.049377,0.601081,-0.797661,16,0.8279
60,-4939778.000,103421.578,3458302.750,-8510.000,-62.500,0.000,385.000,-2430.039,-1855.000,-0.004453,0.606324,-0.795205,16,0.7759
61,-4948288.000,103359.078,3458302.750,8895.000,-2367.539,-1855.000,190.000,-1025.016,-1855.000,0.134648,0.873068,-0.468639,0,0.5512
62,-4913025.000,103166.570,3462462.750,-9152.500,320.008,-2240.000,575.000,-2495.031,-1920.000,0.205941,0.626154,-0.752010,16,0.8977
63,-4922177.500,103486.578,3460222.750,9727.500,-2815.039,320.000,512.500,-2175.031,-1920.000,0.218324,0.674231,-0.705512,16,0.8328
64,-4922177.500,103486.578,3460222.750,-8832.500,0.000,-1345.000,512.500,-2175.031,-1920.000,0.111445,0.672295,-0.731847,16,0.7823
65,-4931010.000,103486.578,3458877.750,9345.000,-2175.031,-575.000,512.500,-1087.516,-1920.000,0.176238,0.875930,-0.449096,0,0.6004
66,-4913025.000,103166.570,3462462.750,575.000,-2495.031,-1920.000,9215.000,-767.508,2815.250,0.275173,0.625344,-0.730223,16,0.9203
67,-4912450.000,100671.539,3460542.750,8640.000,1727.523,4735.250,9600.000,382.500,2945.000,0.135157,0.825613,-0.547811,16,0.7224
68,-4903810.000,102399.062,3465278.000,960.000,-1345.023,-1790.250,6208.000,-897.516,6080.000,0.466917,0.808886,-0.357341,16,0.6245
69,-4902850.000,101054.039,3463487.750,5248.000,447.508,7870.250,6658.000,-960.016,7230.250,0.546641,0.732277,-0.406146,16,0.5883
70,-4912130.000,97791.492,3459967.750,9280.000,3262.547,3520.000,9857.500,1920.031,3135.000,0.219799,0.355117,-0.908614,2,0.4704
71,-4902850.000,101054.039,3463487.750,577.500,-1342.516,-385.000,6658.000,-960.016,7230.250,0.683654,0.457211,-0.568837,2,0.4393
72,-4997506.500,104061.586,3463677.750,-7935.000,1217.523,1857.750,-640.000,-1087.516,-1920.000,0.016762,0.867588,-0.497001,0,0.5642
73,-5005441.500,105279.109,3465535.500,7295.000,-2305.039,-3777.750,-447.500,-1025.016,-1600.250,-0.011589,0.843479,-0.537037,16,0.4722
74,-4998146.500,102974.070,3461757.750,-7742.500,1280.023,2177.500,65.000,-3392.555,-1662.500,-0.177764,0.430290,-0.885014,16,0.8817
75,-5005441.500,105279.109,3465535.500,-7807.500,1600.023,5055.000,-447.500,-1025.016,-1600.250,-0.151166,0.851050,-0.502854,0,0.5167
76,-5013249.000,106879.133,3470590.500,7360.000,-2625.039,-6655.250,-960.000,-1985.031,-1087.500,-0.420052,0.583791,-0.694798,16,0.7348
77,-4997506.500,104061.586,3463677.750,-640.000,-1087.516,-1920.000,8065.500,-510.008,-1535.000,-0.036656,0.874722,-0.483236,0,0.5611
78,-4998146.500,102974.070,3461757.750,8705.500,577.508,385.000,8193.000,-512.508,-1470.000,-0.035371,0.865868,-0.499020,0,0.5490
79,-4989441.000,103551.578,3462142.750,-512.500,-1090.016,-1855.000,8255.000,-130.000,-1345.000,-0.066456,0.868175,-0.491788,0,0.5493
80,-4989953.500,102461.562,3460287.750,8767.500,960.016,510.000,8385.000,-127.500,-1217.500,-0.062814,0.850811,-0.521704,0,0.5237
81,-4998146.500,102974.070,3461757.750,65.000,-3392.555,-1662.500,8193.000,-512.508,-1470.000,-0.132716,0.434103,-0.891034,16,0.9285
82,-4998081.500,99581.516,3460095.250,8128.000,2880.047,192.500,8320.500,640.016,-1665.000,-0.199924,0.615194,-0.762605,16,0.7332
83,-4989953.500,102461.562,3460287.750,192.500,-2240.031,-1857.500,8385.000,-127.500,-1217.500,-0.102234,0.629753,-0.770038,16,0.7260
84,-4981186.000,103421.578,3460797.750,-382.500,-1087.516,-1727.500,8385.000,-62.500,-1150.000,-0.065147,0.850913,-0.521252,0,0.5227
85,-4981568.500,102334.062,3459070.250,8767.500,1025.016,577.500,8447.500,0.000,-895.000,-0.059497,0.825293,-0.561562,16,0.4595
86,-4972801.000,103359.078,3459647.750,-320.000,-1025.016,-1472.500,8383.000,0.000,-897.500,-0.060110,0.825325,-0.561450,16,0.4561
87,-4973121.000,102334.062,3458175.250,8703.000,1025.016,575.000,8640.000,-702.516,-1792.500,-0.056257,0.807241,-0.587535,16,0.7593
88,-4981633.500,97726.492,3458430.250,8512.500,4607.570,-255.000,8385.000,2880.039,-2047.500,-0.385669,0.677886,-0.625883,16,0.6723
89,-4973121.000,102334.062,3458175.250,-127.500,-1727.531,-1792.500,8640.000,-702.516,-1792.500,-0.084230,0.720463,-0.688359,16,0.6501
90,-4948288.000,103359.078,3458302.750,-8130.000,0.000,65.000,190.000,-1025.016,-1855.000,-0.003869,0.875090,-0.483944,0,0.5132
91,-4956418.000,103359.078,3458367.750,8320.000,-1025.016,-1920.000,65.000,-1920.031,-1792.500,-0.084826,0.678419,-0.729762,16,0.6497
92,-4956418.000,103359.078,3458367.750,-8000.000,0.000,382.500,65.000,-1920.031,-1792.500,-0.034956,0.681364,-0.731109,16,0.6261
93,-4964418.000,103359.078,3458750.250,8065.000,-1920.031,-2175.000,-63.000,-1727.531,-2367.500,0.033078,0.806946,-0.589698,16,0.7102
94,-4628673.000,99711.523,4140478.250,960.000,-2177.539,1537.500,-8000.000,62.500,1727.500,0.170642,0.617423,0.767900,16,0.6738
95,-4627713.000,97533.984,4142015.750,-8960.000,2240.039,190.000,-8065.000,65.008,2110.000,0.187857,0.692319,0.696710,16,0.7479
96,-4636673.000,99774.023,4142205.750,895.000,-2175.031,1920.000,-9345.500,447.508,3520.000,0.281583,0.697524,0.658917,16,0.9012
97,-4635778.000,97598.992,4144125.750,-10240.500,2622.539,1600.000,-8830.500,-255.008,3265.000,0.268373,0.577589,0.770952,16,0.9962
98,-4646018.500,100221.531,4145725.750,1410.000,-2877.547,1665.000,-4160.000,705.008,8512.750,0.761026,0.561197,0.325420,16,1.0052
99,-4644608.500,97343.984,4147390.750,-5570.000,3582.555,6847.750,-4160.000,702.508,8192.750,0.769507,0.537674,0.344625,2,0.9504
100,-4650178.500,100926.539,4154238.500,1410.000,-2880.047,1345.000,-2557.500,320.008,4800.000,0.756339,0.541619,0.366878,2,0.5617
101,-4648768.500,98046.492,4155583.500,-3967.500,3200.055,3455.000,-2690.000,512.508,5567.500,0.744574,0.593740,0.305094,16,0.6422
102,-4652736.000,101246.547,4159038.500,1277.500,-2687.547,2112.500,-5057.500,447.508,1345.000,0.245813,0.668541,0.701875,16,0.5529
103,-4651458.500,98559.000,4161151.000,-6335.000,3135.055,-767.500,-5695.000,1022.516,1087.500,0.253467,0.680493,0.687520,16,0.4931
104,-4657793.500,101694.055,4160383.500,640.000,-2112.539,1855.000,-8640.000,192.500,2302.500,0.202897,0.680083,0.704500,16,0.7669
105,-4657153.500,99581.516,4162238.500,-9280.000,2305.039,447.500,-8000.000,-702.508,2305.000,0.180515,0.571310,0.800637,16,0.9291
106,-4666433.500,101886.555,4162686.000,1280.000,-3007.547,1857.500,-4095.500,-65.000,6785.000,0.703818,0.565268,0.430247,16,0.8590
107,-4665153.500,98879.008,4164543.500,-5375.500,2942.547,4927.500,-4032.500,767.516,6270.250,0.679145,0.640578,0.358359,16,0.6437
108,-4670529.000,101821.555,4169471.000,1343.000,-2175.031,1342.750,-2367.500,-510.008,4095.250,0.618089,0.652397,0.438570,16,0.3965
109,-4669186.000,99646.523,4170813.750,-3710.500,1665.023,2752.500,-2623.000,-385.008,4672.500,0.604126,0.691466,0.396114,16,0.4361
110,-4672896.500,101311.547,4173566.250,1087.500,-2050.031,1920.000,-4480.000,-192.508,2047.500,0.257989,0.729807,0.633106,16,0.4422
111,-4671809.000,99261.516,4175486.250,-5567.500,1857.523,127.500,-4927.500,-1855.031,2305.000,0.192850,0.520949,0.831517,2,0.6982
112,-4677376.500,101119.039,4175613.750,640.000,-3712.555,2177.500,-8767.500,-640.008,3777.500,0.305574,0.520369,0.797396,2,1.2318
113,-4676736.500,97406.484,4177791.250,-9407.500,3072.547,1600.000,-8065.000,-702.508,3582.500,0.306657,0.525740,0.793448,2,1.1790
114,-4686144.000,100479.031,4179391.250,1342.500,-3775.055,1982.500,-4160.000,-897.516,8640.250,0.763637,0.491461,0.418718,2,1.2035
115,-4684801.500,96703.977,4181373.750,-5502.500,2877.539,6657.750,-4222.500,895.016,6912.750,0.750295,0.534469,0.389102,2,0.5534
116,-4690304.000,99581.516,4188031.500,1280.000,-1982.523,255.000,-2050.000,-575.008,7870.000,0.798981,0.547773,0.248143,16,0.5765
117,-4689024.000,97598.992,4188286.500,-3330.000,1407.516,7615.000,-1792.500,-255.008,8255.000,0.689523,0.703675,0.171461,16,0.5861
118,-4658946.000,83198.766,4016253.750,-382.500,-1280.016,-1982.500,-7487.500,-512.508,-382.500,-0.030172,0.842367,-0.538059,16,0.5200
119,-4659328.500,81918.750,4014271.250,-7105.000,767.508,1600.000,-7617.500,-705.008,-447.500,-0.041662,0.816060,-0.576464,16,0.5612
120,-4666433.500,82686.258,4015871.250,-512.500,-1472.516,-2047.500,-7360.500,-447.500,255.000,-0.069515,0.818054,-0.570926,16,0.5538
121,-4666946.000,81213.742,4013823.750,-6848.000,1025.016,2302.500,-7423.000,-510.008,255.000,-0.075585,0.807896,-0.584458,16,0.5661
122,-4673794.000,82238.758,4016126.250,-575.000,-1535.023,-2047.500,-7040.000,-320.008,1345.000,-0.145193,0.810773,-0.567067,16,0.5583
123,-4674369.000,80703.734,4014078.750,-6465.000,1215.016,3392.500,-6847.500,-320.008,1600.000,-0.180044,0.765791,-0.617372,16,0.5015
124,-4680834.000,81918.750,4017471.250,-382.500,-1535.023,-1792.500,-4927.500,-127.500,1600.000,-0.217119,0.763839,-0.607790,16,0.3685
125,-4681216.500,80383.727,4015678.750,-4545.000,1407.523,3392.500,-4545.000,-257.508,1792.500,-0.307907,0.659223,-0.686016,16,0.3288
126,-4685761.500,81791.250,4019071.250,0.000,-1665.031,-1600.000,-2752.500,512.508,3840.250,-0.659348,0.520937,-0.542111,16,0.2519
127,-4685761.500,80126.219,4017471.250,-2752.500,2177.539,5440.250,-4415.000,320.008,5182.750,-0.589122,0.601989,-0.539022,16,0.4828
128,-4688514.000,82303.758,4022911.500,-1662.500,-1857.531,-257.500,-3327.500,382.500,6207.500,-0.657754,0.643063,-0.392211,16,0.5180
129,-4690176.500,80446.227,4022654.000,-1665.000,2240.031,6465.000,-3200.000,512.508,6145.000,-0.650120,0.650427,-0.392796,16,0.4791
130,-4760512.500,76478.664,4119935.250,-8320.500,-320.000,447.500,447.500,-1600.023,-2177.500,-0.062925,0.798030,-0.599323,16,0.6691
131,-4768833.000,76158.664,4120382.750,8768.000,-1280.023,-2625.000,255.000,-1535.023,-2687.500,-0.022324,0.867209,-0.497443,0,0.7868
132,-4768833.000,76158.664,4120382.750,-7232.500,-447.508,255.250,255.000,-1535.023,-2687.500,-0.071050,0.863226,-0.499792,0,0.6688
133,-4776065.500,75711.156,4120638.000,7487.500,-1087.516,-2942.750,1280.000,-1025.016,-1150.250,-0.217194,0.596150,-0.772937,16,0.2422
134,-4774785.500,74686.141,4119487.750,6527.500,-3007.547,-1665.000,385.000,-1087.516,-705.000,0.043321,0.554208,-0.831250,16,0.2130
135,-4776065.500,75711.156,4120638.000,-4545.000,192.500,-3967.750,1280.000,-1025.016,-1150.250,0.357264,0.858630,-0.367583,0,0.3577
136,-4780610.500,75903.656,4116670.250,5825.000,-1217.516,2817.500,1345.000,-1025.016,-1215.000,0.349729,0.870219,-0.346998,0,0.3722
137,-4774785.500,74686.141,4119487.750,-4480.000,192.500,-4032.500,385.000,-1087.516,-705.000,0.557977,0.581401,-0.592144,16,0.2415
138,-4779265.500,74878.641,4115455.250,4865.000,-1280.016,3327.500,575.000,-1025.016,-385.000,0.565539,0.548558,-0.615833,2,0.2057
139,-4780610.500,75903.656,4116670.250,-3967.500,127.500,-2495.000,1345.000,-1025.016,-1215.000,0.286892,0.864833,-0.412015,0,0.2818
140,-4784578.000,76031.156,4114175.250,5312.500,-1152.516,1280.000,705.000,-2177.531,-1087.500,0.304029,0.502608,-0.809291,2,0.3961
141,-4779265.500,74878.641,4115455.250,-4607.500,-1025.016,-2367.500,575.000,-1025.016,-385.000,0.312897,0.482751,-0.817953,2,0.1935
142,-4760512.500,76478.664,4119935.250,447.500,-1600.023,-2177.500,11007.500,-255.000,1152.750,0.079486,0.811016,-0.579598,16,0.8997
143,-4760065.000,74878.641,4117757.750,10560.000,1345.023,3330.250,10752.500,192.508,2050.000,0.111613,0.746853,-0.655555,16,0.5651
144,-4749505.000,76223.664,4121088.000,192.500,-1152.516,-1280.250,14783.000,-705.016,5310.000,0.259395,0.736842,-0.624322,16,0.8068
145,-4749312.500,75071.148,4119807.750,14590.500,447.500,6590.250,14975.500,-1600.031,4480.250,0.269354,0.715226,-0.644903,16,1.3885
146,-4759872.500,72383.602,4116927.750,10560.000,2687.547,2880.000,10750.000,1535.023,2110.000,0.081069,0.562902,-0.822538,16,0.4595
147,-4749312.500,75071.148,4119807.750,190.000,-1152.523,-770.000,14975.500,-1600.031,4480.250,0.291397,0.564166,-0.772531,16,0.6541
148,-4724417.000,87486.336,4106622.750,640.000,1472.523,705.000,-6655.000,-895.016,3712.500,-0.464583,0.538490,-0.702987,2,0.3912
149,-4723777.000,88958.859,4107327.750,-7295.000,-2367.539,3007.500,-6912.500,-385.008,3775.000,-0.456936,0.396423,-0.796277,2,0.5074
150,-4731072.000,86591.320,4110335.250,382.500,1982.531,767.500,-3712.500,127.500,3007.500,-0.571556,0.389806,-0.722063,2,0.3058
151,-4734464.500,87998.844,4113470.250,-2688.000,-1535.023,3777.500,-1858.000,-575.008,4097.500,-0.699762,0.678999,-0.222021,16,0.1754
152,-4737152.500,86463.820,4117247.750,830.000,960.016,320.000,-3200.000,-960.016,6910.250,-0.697446,0.679194,-0.228615,16,0.2966
153,-4736322.500,87423.836,4117567.750,-4030.000,-1920.031,6590.250,-3200.000,-640.016,7167.750,-0.743933,0.607749,-0.277858,16,0.3824
154,-4740352.500,85503.805,4124158.000,830.000,1280.016,577.500,-6017.500,-1537.523,4225.000,-0.552867,0.613096,-0.564315,16,0.3394
155,-4749952.500,85758.805,4131710.500,-3007.500,-960.008,6080.250,-1985.000,192.508,5505.250,-0.782926,0.544269,-0.301328,2,0.2457
156,-4752960.000,84798.797,4137790.750,1022.500,1152.516,-575.000,-1345.000,-575.016,9665.000,-0.762893,0.642948,-0.067914,16,0.4222
157,-4754305.000,84223.781,4147455.750,832.500,1920.031,-1025.000,-65.000,-257.500,11070.250,-0.916700,0.399557,0.003911,2,0.6824
158,-4753472.500,86143.812,4146430.750,-897.500,-2177.531,12095.250,575.000,447.508,10880.250,-0.866827,0.497965,0.025329,2,1.0007
159,-4754370.000,83966.281,4158526.000,1472.500,2625.039,-1215.000,1280.000,1537.523,12865.250,-0.866532,0.498410,0.026649,2,1.2257
160,-4752897.500,86591.320,4157311.000,-192.500,-1087.516,14080.250,897.500,512.508,13632.750,-0.821727,0.568942,0.032709,16,0.7994
161,-4671616.500,86013.812,4091007.500,-192.500,1985.031,1920.000,-10177.500,832.516,-1345.000,0.149793,0.694857,-0.703374,16,0.8492
162,-4671809.000,87998.844,4092927.500,-9985.000,-1152.516,-3265.000,-10047.500,832.508,-1407.500,0.156806,0.677439,-0.718671,16,0.8249
163,-4681794.000,86846.328,4089662.500,-62.500,1985.023,1857.500,-8382.500,1407.516,-447.500,0.152217,0.677853,-0.719268,16,0.6858
164,-4681856.500,88831.352,4091520.000,-8320.000,-577.508,-2305.000,-8320.000,512.508,-1410.000,0.167659,0.625600,-0.761915,16,0.3547
165,-4690176.500,88253.844,4089215.000,0.000,1090.016,895.000,-7617.500,-320.000,-320.000,0.005809,0.634572,-0.772842,16,0.3202
166,-4690176.500,89343.859,4090110.000,-7617.500,-1410.016,-1215.000,-7487.500,-192.500,-447.500,0.037003,0.530073,-0.847144,2,0.3198
167,-4697794.000,87933.844,4088895.000,130.000,1217.516,767.500,-7230.500,-1087.516,1025.000,-0.197090,0.537783,-0.819723,2,0.3149
168,-4697664.000,89151.359,4089662.500,-7360.500,-2305.031,257.500,-7233.000,-320.008,1025.000,-0.146442,0.364909,-0.919454,2,0.4641
169,-4705024.500,86846.328,4089920.000,127.500,1985.023,767.500,-7745.000,-62.508,2495.000,-0.288547,0.361356,-0.886658,2,0.5165
170,-4704897.000,88831.352,4090687.500,-7872.500,-2047.531,1727.500,-7167.500,127.508,2432.500,-0.291330,0.379113,-0.878294,2,0.5320
171,-4712769.500,86783.820,4092415.000,705.000,2175.039,705.000,-5760.000,767.516,2625.000,-0.338982,0.387716,-0.857186,2,0.4544
172,-4712064.500,88958.859,4093120.000,-6465.000,-1407.523,1920.000,-5057.500,127.500,2495.000,-0.345215,0.589954,-0.729918,16,0.3243
173,-4718529.500,87551.336,4095040.000,1407.500,1535.023,575.000,-2495.000,-705.008,4350.000,-0.659525,0.703711,-0.264228,16,0.3201
174,-4717122.000,89086.359,4095615.000,-3902.500,-2240.031,3775.000,-2750.000,192.500,4352.500,-0.738693,0.465675,-0.487317,16,0.4227
175,-4721024.500,86846.328,4099390.000,1152.500,2432.531,577.500,-3392.500,640.008,7232.750,-0.783342,0.468202,-0.408854,2,0.6553
176,-4719872.000,89278.859,4099967.500,-4545.000,-1792.523,6655.250,-3905.000,-320.000,7360.250,-0.765546,0.516436,-0.383709,2,0.4307
177,-4662786.000,100286.531,4114047.750,-382.500,-1920.031,-770.000,-3582.500,192.500,3135.000,-0.591666,0.398839,-0.700613,2,0.2957
178,-4663168.500,98366.500,4113277.750,-3200.000,2112.531,3905.000,-4287.500,-382.508,3265.000,-0.571282,0.428554,-0.699984,2,0.4377
179,-4666368.500,100479.031,4117182.750,-1087.500,-2495.039,-640.000,-5698.000,-320.000,5887.750,-0.656225,0.442756,-0.611012,2,0.6765
180,-4667456.000,97983.992,4116542.750,-4610.500,2175.039,6527.750,-5185.500,-450.008,5632.750,-0.699789,0.363042,-0.615221,2,0.6469
181,-4672066.500,100159.031,4123070.500,-575.000,-2625.047,-895.000,-9855.000,-447.508,1920.000,-0.194296,0.354416,-0.914679,16,0.8345
182,-4672641.500,97533.984,4122175.500,-9280.000,2177.539,2815.000,-9665.000,832.516,1792.500,-0.091331,0.619096,-0.779986,16,0.5089
183,-4681921.500,99711.523,4124990.500,-385.000,-1345.023,-1022.500,-5887.500,-832.516,1345.000,-0.256518,0.630402,-0.732661,16,0.3091
184,-4682306.500,98366.500,4123968.000,-5502.500,512.508,2367.500,-6717.500,-895.016,1087.500,-0.201975,0.748620,-0.631485,16,0.3949
185,-4687809.000,98879.008,4126335.500,-1215.000,-1407.523,-1280.000,-3072.500,255.008,4222.500,-0.483122,0.779547,-0.398623,16,0.3465
